"nota","tgl","kode","tarif","fpkt"
"JL23100018","2023-10-10","0042","100000",
"JL23100018","2023-10-10","0002","300000",
"JL23100018","2023-10-10","0007","50000",
"JL23100019","2023-10-12","0004","120000",
"JL23100019","2023-10-12","0007","50000",
"JL23100019","2023-10-12","0035","110000",
"JL23100020","2023-10-14","0015","35000",
"JL23100020","2023-10-14","0028","130000",
"JL23100021","2023-10-14","0028","130000",
"JL23100022","2023-10-16","0022","25000",
"JL23100023","2023-10-17","0039","40000",
"JL23100023","2023-10-17","0022","25000",
"JL23100023","2023-10-17","0011","45000",
"JL23100024","2023-10-17","0031","150000","**"
"JL23100024","2023-10-17","0027","55000",
"JL23100025","2023-10-20","0019","135000",
"JL23100026","2023-10-20","0003","95000",
"JL23100027","2023-10-20","0008","40000",
"JL23100027","2023-10-20","0009","45000",
"JL23100028","2023-10-21","0035","110000",
"JL23100029","2023-10-21","0033","70000",
"JL23100029","2023-10-21","0034","85000",
"JL23100030","2023-10-21","0035","110000",
"JL23100031","2023-10-21","0035","110000",
"JL23100032","2023-10-21","0035","110000",
"JL23100033","2023-10-23","0006","45000",
"JL23100034","2023-10-23","0003","95000",
"JL23100034","2023-10-23","0035","110000",
"JL23100035","2023-10-24","0035","110000",
"JL23100036","2023-10-25","0021","150000",
"JL23100037","2023-10-26","0004","120000",
"JL23100038","2023-10-26","0008","40000",
"JL23100038","2023-10-26","0009","45000",
"JL23100039","2023-10-26","0007","50000",
"JL23100039","2023-10-26","0035","110000",
"JL23100040","2023-10-27","0003","95000",
"JL23100041","2023-10-27","0010","40000",
"JL23100041","2023-10-27","0011","45000",
"JL23100042","2023-10-27","0003","95000",
"JL23100042","2023-10-27","0023","35000",
"JL23100043","2023-10-27","0011","45000",
"JL23100043","2023-10-27","0012","65000",
"JL23100044","2023-10-28","0020","101250","**"
"JL23110001","2023-11-01","0029","175000",
"JL23110002","2023-11-01","0029","175000",
"JL23110003","2023-11-03","0017","74250","**"
"JL23110004","2023-11-04","0019","135000",
"JL23110005","2023-11-05","0008","40000",
"JL23110005","2023-11-05","0009","45000",
"JL23110005","2023-11-05","0012","65000",
"JL23110005","2023-11-05","0008","40000",
"JL23110005","2023-11-05","0009","45000",
"JL23110005","2023-11-05","0012","65000",
"JL23110006","2023-11-05","0023","35000",
"JL23110006","2023-11-05","0023","35000",
"JL23110007","2023-11-06","0004","120000",
"JL23110008","2023-11-06","0004","120000",
"JL23110008","2023-11-06","0023","35000",
"JL23110009","2023-11-08","0006","45000",
"JL23110010","2023-11-11","0035","110000",
"JL23110011","2023-11-16","0012","65000",
"JL23110012","2023-11-16","0013","120000",
"JL23110013","2023-11-16","0023","35000",
"JL23110014","2023-11-17","0021","150000",
"JL23110015","2023-11-18","0035","110000",
"JL23110016","2023-11-19","0024","135000",
"JL23110017","2023-11-20","0032","60000",
"JL23110018","2023-11-23","0033","70000",
"JL23110018","2023-11-23","0034","85000",
"JL23110018","2023-11-23","0023","35000",
